discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Radial Velocity,0.0662,,,,,0,,0,
Eclipse Timing Variations,8.6,,,1995.88832,6.28,,,0,
Eclipse Timing Variations,8.19,,,,,0.39,,0,
Transit,,5.7,0.509,,,0,89.5,0,0.2936
Transit,,5.63,0.5,413.179,1.3,,88.83,0,
Transit,,6.496,0.579,,,,,0,0.421127
Transit,0.0349,1.047,0.093,,,0,89.002,0,
Transit,,1.87,0.167,,,,,0,
Transit,,2.2,0.2,,,,,0,0.316
Transit,,1.5,0.134,,,,88.5,0,
Transit,,0.692,0.062,,,,,0,
Transit,,1.3,0.116,,,,89.2,0,
Transit,,1.406,0.13,,,,84.701,0,
Transit,,1.2,0.11,,,,,0,0.025
Transit,,1.22,0.109,,,,,0,
Transit,,1.03,0.092,,,,,0,
Transit,0.0296,0.908,0.081,,,0,89.276,0,
Transit,,1,0.089,,,,,0,
Transit,,1.48,0.132,,,,,0,0.0485
Transit,,1.41,0.126,,,,,0,0.0447
Transit,0.035,1.04,0.093,,,,89.001,0,
Transit,,1.1,0.098,,,,,0,
Transit,,1.31,0.117,,,,89.81,0,
Transit,,1.62,0.145,,,,,0,0.0303
Transit,,1.18,0.105,,,,,0,
Transit,,1.7,0.152,,,,,0,
Transit,,1.44,0.128,,,,,0,0.0267
Transit,,1.35,0.12,,,,,0,0.0174
Transit,,1.16,0.103,,,,,0,0.0179
Transit,,1.4,0.125,,,,91.7,0,
Transit,,2.94,0.262,,,,,0,0.0825
Transit,,4,0.36,,,,,0,
Transit,,2.52,0.225,,,,,0,0.0872
Transit,,2.6,0.232,,,,90,0,
Transit,,1.01,0.09,,,,,0,
Transit,,1.7,0.152,,,,90.5,0,
Transit,,1.62,0.145,,,,,0,
Transit,,3.32,0.296,,,,,0,0.197
Transit,,1.45,0.129,,,,,0,0.0553
Transit,,1.2,0.107,,,,89.9,0,
Transit,,2,0.2,,,,,0,0.269
Transit,,1,0.089,,,,89.9,0,
Transit,,0.9,0.08,,,,,0,
Transit,,1.22,0.109,,,,,0,0.03
Transit,,0.96,0.086,,,,,0,
Transit,,2.15,0.192,,,,,0,0.0948
Transit,,2.63,0.235,,,,,0,0.111
Transit,,2.094,0.187,,,,,0,
Transit,,,,,,,,0,0.06
Transit,,2.2,0.196,,,0.18,89.5,0,
Transit,0.131,1.98,0.177,,,0.06,89.73,0,
Transit,,,,,,,,0,0.071
Transit,,2.18,0.194,,,,,0,0.1041
Transit,0.1195,1.92,0.171,,,,,0,
Transit,,,,,,,,0,0.15
Transit,,5.847,0.52,,,,89.333,0,
Transit,0.148,6.12,0.546,27,0.08495,0,87.9,0,
Transit,0.1493,5.76,0.514,,,,,0,
Transit,,,,,,,,0,0.1381
Transit,,5.96,0.532,,,,,0,0.1639
Transit,,6,0.54,,,,,0,
Transit,,5.507,0.491,,,,,0,0.17
Transit,,6.8,0.61,,,,,0,0.1777
Transit,,1.83,0.163,,,,,0,0.0535
Transit,,1.48,0.132,,,,,0,
Transit,,1.323,0.118,,,,,0,
Transit,,2.29,0.204,,,,,0,0.0828
Transit,,,,,,,,0,0.0709
Transit,,2.27,0.203,,,,,0,
Transit,,2.21,0.197,,,,,0,0.0298
Transit,,2.17,0.194,,,,,0,
Transit,,1.6,0.143,,,,,0,
Transit,,1.39,0.124,,,,,0,0.0187
Transit,,1.12,0.1,,,,,0,
Transit,,1.26,0.112,,,,,0,
Transit,,,,,,,,0,0.0469
Transit,,,,,,,,0,0.069
Transit,,2.245,0.2,,,,89.421,0,
Transit,,2.31,0.206,,,,,0,0.0506
Transit,,2.3,0.21,,,,,0,
Transit,,2.32,0.207,,,,,0,
Transit,,1.2,0.107,,,,90.3,0,
Transit,,2.3,0.205,,,,90,0,
Transit,,2.67,0.238,,,,,0,0.0722
Transit,,,,,,,,0,0.1212
Transit,,,,,,,,0,0.146
Transit,0.098,2.586,0.231,,,0.2,89.071,0,0.11
Transit,0.28,2.69,0.24,,,0.2,89.63,0,0.11
Transit,,0.99,0.088,,,,92.6,0,
Transit,,1.48,0.132,,,,,0,
Transit,,1.6,0.143,,,,91.3,0,
Transit,,1.73,0.154,,,,,0,0.0262
Transit,,1.816,0.162,,,,,0,0.02847
Transit,0.0116,1.52,0.136,8.36,0.0263,0,86.4,0,
Transit,,1.6,0.143,,,,89.7,0,
Transit,0.0134,1.82,0.162,,,,,0,
Transit,,1.8,0.16,,,,,0,
Transit,,1.46,0.13,,,0,80.2,0,
Transit,0.01312,1.82,0.162,9,0.02832,,80.2,0,
Transit,,1.712,0.153,7.72,0.02429,,,0,
Transit,,1.669,0.149,,,,79.528,0,
Transit,0.1091,2.73,0.244,,,,,0,
Transit,,2.53,0.226,,,0,87.2,0,
Transit,,2.705,0.241,,,,88.63,0,
Transit,0.1071,2.77,0.247,5.7,0.01793,,89,0,
Transit,,2.2,0.196,,,,90.2,0,
Transit,,2.8,0.25,,,,,0,
Transit,,3.79,0.338,,,,,0,0.0903
Transit,0.105,2.5,0.223,5.8,0.01825,0.18,89.35,0,
Transit,,1.1,0.098,,,,89.7,0,
Transit,,1.27,0.113,,,,,0,0.068
Transit,0.07229,11.781,1.051,953.49,3,,86.21,0,0.464
Transit,,13.274,1.184,,,,,0,0.537
Transit,4.5,12.442,1.11,4131.79,13,0,89.87,0,0.18
Transit,0.047,1.95,0.174,8.75,0.02753,0.06,86.14,0,
Transit,0.13,3.67,0.327,14.67,0.04616,0.07,87.94,0,
Transit,0.22,3.94,0.352,10.18,0.03203,0.15,89.47,0,
Imaging,800,,,5085.28,16,,,0,
Radial Velocity,0.02279,,,,,,,0,
Radial Velocity,0.0525,,,,,,,0,
Transit,0.0385,2.025,0.181,,,0,88.57,0,0.365
Transit,,2.061,0.184,,,,,0,0.365
Transit,,,,,,,,0,0.3155
Radial Velocity,0.021,,,,,0.31,,0,
Radial Velocity,0.035,,,,,0.29,,0,
Radial Velocity,0.054,,,,,0.53,,0,
Transit,0.0153,1.13,0.101,1.66,0.00522,0.22,,0,
Transit,,1.16,0.103,1.62,0.0051,0,,0,
Transit,,1.215,0.108,,,,,0,0.251212
Transit,,,,1.58,0.00497,,,0,
Transit,0.01533,1.43,0.128,1.63,0.00513,,86.58,0,
Radial Velocity,0.0476,,,,,0.27,,0,
Radial Velocity,0.166,,,,,0.38,,0,
Radial Velocity,0.1686,,,,,0.366,,0,
Radial Velocity,0.163506,,,,,0.314,,0,
Radial Velocity,0.9302,,,,,0.27,,0,
Radial Velocity,0.912,,,,,0.342,,0,
Transit,,,,,,,88.94,0,
Transit,0.01411,2.847,0.254,6.26125,0.0197,,88.17,0,
Transit,,2.65,0.236,6.45,0.02,,90,0,
Transit,,,,,,,89.3,0,
Transit,0.0149,2.742,0.245,8.17,0.02571,0.063,88.7,0,
Transit,,,,,,0,89.1,0,
Transit,,,,,,0,88.94,0,
Transit,,2.678,0.239,6.55,0.021,0.14,88.62,0,
Transit,,,,,,,,0,
Transit,,2.61,0.233,,,,,0,
Transit,,,,,,,88.94,0,
Transit,,,,,,,,0,
Transit,,2.64,0.24,,,,88.8,0,
Transit,,2.74,0.244,6.37,0.02004,,88.39,0,
Transit,,2.27,0.203,6.43,0.02,,90,0,
Transit,,,,,,,,0,
Transit,0.00916,1.193,0.106,2.09,0.00658,0,85,0,
Transit,,1.14,0.102,,,,,0,0.079726
Transit,0.00915,1.18,0.105,1.32,0.00415,,84.8,0,
Transit,,,,,,,,0,
Radial Velocity,0.026,,,,,0.04,,0,
Transit,0.1915,2.61,0.233,22.7,0.07142,0.188,89.33,0,
Transit,0.1932,,,30.63,0.09637,0.325,,0,
Transit,,2.629,0.235,,,,,0,0.136385
Radial Velocity,0.0717,,,,,0,,0,
Radial Velocity,0.0732,,,,,0.075,,0,
Radial Velocity,0.072,,,,,0.094,,0,
Radial Velocity,5.4,,,,,0.27,,0,
Radial Velocity,0.053,,,,,0.06,,0,
Radial Velocity,0.0607,,,,,0.073,,0,
Radial Velocity,0.1254,,,,,0.099,,0,
Radial Velocity,1.0304,,,,,0.373,,0,
Radial Velocity,2.41,,,,,0.21,,0,
Radial Velocity,2.523,,,,,0.169,,0,
Radial Velocity,0.092,,,,,0.07,,0,
